order_no,code,status,amount,ordered_on
SO-000001,P-1000,En cours,1250.00,2026-08-02
SO-000002,P-1001,fini,380.50,2026-08-03
SO-000003,P-1002,TERMINE ,2200.00,2026-08-03
SO-000004,P-1003,BROUILLON,90.00,2026-08-05
SO-000005,P-1000,encours,640.00,2026-08-06
SO-000006,P-1008,EN LITIGE,4100.00,2026-08-07
SO-000007,P-1005,En cours,15.75,2026-08-09
SO-000008,P-1009,Terminé,999.99,2026-08-10
SO-000009,P-1010,,120.00,2026-08-11
SO-000010,P-1004,EN LITIGE,77.00,2026-08-12
SO-000011,P-1006,BROUILLON,3000.00,2026-08-12
SO-000012,P-1011,En cours,55.00,2026-08-13
SO-000013,P-1007,EN LITIGE,860.00,2026-08-14
